res_id,address,likes,dislikes,bookmarks,price_range,cuisine,review
472604,"26/F, Jardine Center, 50 Jardine's Bazaar, Causeway Bay",58,7,9406,$401-800,Sushi/Sashimi,82
635209,"Shop 72, LG/F, East Pavilion, 1010-1056 King's Road, Quarry Bay",39,0,1509,$201-400,Robatayaki,45
665781,"6/F, Jardine Center, 50 Jardine's Bazaar, Causeway Bay",37,0,5476,$401-800,Sushi/Sashimi,43
51423,"7/F, The Pemberton, 22-26 Bonham Strand, Sheung Wan",111,4,8421,$201-400,Social Enterprise Restaurant,150
448850,"U/G, Far East Finance Centre, 16 Harcourt Road, Admiralty",111,22,13534,Below $50,Sushi/Sashimi,210
494613,"Shop G1019, Kam Sing Mansion, Sing Fai Terrace, 3 Tai Fung Avenue, Tai Koo",54,12,2797,$51-100,Ramen,121
131932,"G/F, 30 Hoi Kwong Street, Quarry Bay",80,16,5656,$51-100,Ramen,154
661066,"11/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",50,2,2999,$201-400,Sushi/Sashimi,58
99364,"Shop P413-415, P4/F, World Trade Center, 280 Gloucester Road, Causeway Bay",80,9,6895,$101-200,Not Specified,135
523446,"Shop C, G/F, 38 Peel Street, Soho, Central",35,1,9632,$201-400,Brazilian,53
100941,"8/F, M88, Wellington Place, 2-8 Wellington Street, Central",52,5,10220,$101-200,Sushi/Sashimi,98
645786,"G/F, 21 Staunton Street, Soho, Central",53,3,1736,$201-400,Skewer,62
588421,"G/F, 1 Caroline Hill Road, Causeway Bay",20,0,8172,Above $801,Sushi/Sashimi,21
456652,"Shop 401, 4/F, Windsor House, 311 Gloucester Road, Causeway Bay",105,13,5891,$101-200,Sushi/Sashimi,162
471732,"Basement, 29-31 Gough Street, Central",65,4,9404,$201-400,Roast Meat,81
588689,"Shop 2-3, G/F, Parkview Commercial Building, 9-11 Shelter Street, Causeway Bay",27,0,7156,$101-200,Not Specified,36
561434,"12/F, 15-21 Sharp Street East, Causeway Bay",46,2,5231,$201-400,Sushi/Sashimi,64
627033,"G/F, 16 Lin Fa Kung Street West, Tai Hang",32,0,6548,$201-400,Not Specified,37
681030,"G/F, 51A Gough Street, Central",45,0,778,$201-400,Sushi/Sashimi,48
51254,"Lower Ground Floor, Henry House, 42 Yun Ping Road, Causeway Bay",162,10,11317,$101-200,Group Dining,244
551352,"G/F, 154-158 Wing Lok Street, Sheung Wan",16,3,12348,$401-800,Not Specified,34
567428,"17/F, Circle Plaza, 499 Hennessy Road, Causeway Bay",32,0,7953,$201-400,Wine,39
13223,"2/F, China Tai Ping Tower, Phase II, 8 Sunning Road, Causeway Bay",93,10,9175,Above $801,Teppanyaki,124
667289,"Shop 2B, G/F, 38 Bonham Road, Western District",24,1,6372,$51-100,Coffee Shop,46
616887,"1/F, The Steps ‧ H Code, 45 Pottinger Street, Central",31,0,6101,Above $801,Roast Meat,34
475194,"8/F, 18 On Lan Street, Central",44,1,8507,Above $801,Fine Dining,58
174679,"G/F, On Hing Building, 1 On Hing Terrace, Central",100,18,15679,$101-200,All-you-can-eat,160
48867,"Shop 301-303, 3/F, Causeway Bay Plaza I, 489 Hennessy Road, Causeway Bay",115,28,4796,$101-200,Hot Pot,187
499231,"G/F, 1-1A Yiu Wa Street, Causeway Bay",52,3,2749,$101-200,Curry,67
566043,"Portion Shop A, 45/F, Four Seasons Hotel, 8 Finance Street, Central",20,1,8448,Above $801,Sushi/Sashimi,26
572173,"Shop 302, 3/F, Man Yee Building, 60-68 Des Voeux Road Central, Central",18,1,11675,$401-800,Teppanyaki,36
543598,"Shop L1404-1405, 14/F, Hysan Place At Lee Gardens, 500 Hennessy Road, Causeway Bay",68,7,16035,$101-200,Buffet,105
151029,"G/F., 142 Aberdeen Main Road, Aberdeen",66,2,4371,$101-200,Sushi/Sashimi,87
690202,"27/F, L'Hart, 487-489 Lockhart Road, Causeway Bay",47,0,1691,Above $801,Omakase,53
